Day,Total Energy Produced (kWh),Total Duration (hours)
2022-01-21,3136.532166666666,11.5
2022-01-22,3126.6401666666666,11.5
2022-01-23,1256.0513333333333,11.5
2022-01-24,3365.730499999999,11.666666666666666
2022-01-25,2606.044666666667,11.666666666666666
2022-01-26,2673.593,11.833333333333334
2022-01-27,2419.1776666666665,11.833333333333334
2022-01-28,3506.1801666666665,11.833333333333334
2022-01-29,3151.9188333333336,11.833333333333334
2022-01-30,3199.6193333333326,11.833333333333334
2022-01-31,3083.6398333333327,11.833333333333334
2022-02-01,1920.0221666666664,11.833333333333334
2022-02-02,2834.0683333333322,11.833333333333334
2022-02-03,1617.4486666666667,11.833333333333334
2022-02-04,360.4674999999999,11.833333333333334
2022-02-05,2144.5865,11.833333333333334
2022-02-06,3879.9851666666664,12.0
2022-02-07,3613.6483333333335,12.0
2022-02-08,2977.400333333333,12.0
2022-02-09,3445.3538333333336,12.0
2022-02-10,2488.7825000000003,12.0
2022-02-11,2199.0516666666663,12.0
2022-02-12,3455.227166666666,12.0
2022-02-13,3646.1786666666667,12.0
2022-02-14,4349.471833333333,12.166666666666666
2022-02-15,3865.2994999999996,12.166666666666666
2022-02-16,3810.1495,12.166666666666666
2022-02-17,3675.8084999999996,12.166666666666666
2022-02-18,2952.050166666667,12.166666666666666
2022-02-19,3442.2364999999995,12.166666666666666
2022-02-20,3599.469,12.166666666666666
2022-02-21,2357.7759999999994,12.333333333333334
2022-02-22,4031.9055,12.333333333333334
2022-02-23,2329.250166666667,12.333333333333334
2022-02-24,3585.5389999999993,12.333333333333334
2022-02-25,3089.5353333333333,12.333333333333334
2022-02-26,3644.5405,12.5
2022-02-27,3353.6504999999997,12.5
2022-02-28,3386.070666666667,12.5
2022-03-01,3587.759833333333,12.5
2022-03-02,3621.2071666666666,12.5
2022-03-03,3765.774833333333,12.5
2022-03-04,3886.893333333333,12.5
2022-03-05,3742.018333333333,12.5
2022-03-06,3681.4314999999992,12.5
2022-03-07,3985.256166666666,12.5
2022-03-08,3699.690666666667,12.5
2022-03-09,3403.7870000000007,12.666666666666666
2022-03-10,3837.9365,12.666666666666666
2022-03-11,3357.3498333333337,12.833333333333334
2022-03-12,3103.834,12.833333333333334
2022-03-13,3044.3176666666664,12.833333333333334
2022-03-14,3520.813166666666,12.833333333333334
2022-03-15,2858.947833333333,12.833333333333334
2022-03-16,3627.3438333333324,12.833333333333334
2022-03-17,3203.3431666666665,12.833333333333334
2022-03-18,3224.5829999999996,13.0
2022-03-19,3032.7395,13.0
2022-03-20,3122.2788333333338,13.0
2022-03-21,2926.580833333333,13.0
2022-03-22,2773.9159999999997,13.0
2022-03-23,3142.6808333333342,13.0
2022-03-24,2944.8315,13.0
2022-03-25,3006.939833333334,13.0
2022-03-26,4088.346833333333,13.0
2022-03-27,4106.1325,13.0
2022-03-28,2337.143666666666,13.166666666666666
2022-03-29,1575.8199999999997,13.166666666666666
